Jumlah Subnet: 4
Jumlah Host per Subnet: 62
Blok Subnet: 64
Subnet Mask (Binary): 11111111 11111111 11111111 11000000 

Tabel Subnet:
Subnet		| IP Awal	| IP Akhir	| IP Broadcast
201.45.231.192 | 201.45.231.193 | 201.45.231.254 | 201.45.231.255
201.45.232.0 | 201.45.232.1 | 201.45.232.62 | 201.45.232.63
201.45.232.64 | 201.45.232.65 | 201.45.232.126 | 201.45.232.127
201.45.232.128 | 201.45.232.129 | 201.45.232.190 | 201.45.232.191
201.45.232.192 | 201.45.232.193 | 201.45.232.254 | 201.45.232.255
201.45.233.0 | 201.45.233.1 | 201.45.233.62 | 201.45.233.63
201.45.233.64 | 201.45.233.65 | 201.45.233.126 | 201.45.233.127
201.45.233.128 | 201.45.233.129 | 201.45.233.190 | 201.45.233.191
201.45.233.192 | 201.45.233.193 | 201.45.233.254 | 201.45.233.255
201.45.234.0 | 201.45.234.1 | 201.45.234.62 | 201.45.234.63
201.45.234.64 | 201.45.234.65 | 201.45.234.126 | 201.45.234.127
201.45.234.128 | 201.45.234.129 | 201.45.234.190 | 201.45.234.191
201.45.234.192 | 201.45.234.193 | 201.45.234.254 | 201.45.234.255
201.45.235.0 | 201.45.235.1 | 201.45.235.62 | 201.45.235.63
201.45.235.64 | 201.45.235.65 | 201.45.235.126 | 201.45.235.127
201.45.235.128 | 201.45.235.129 | 201.45.235.190 | 201.45.235.191
201.45.235.192 | 201.45.235.193 | 201.45.235.254 | 201.45.235.255
201.45.236.0 | 201.45.236.1 | 201.45.236.62 | 201.45.236.63
201.45.236.64 | 201.45.236.65 | 201.45.236.126 | 201.45.236.127
201.45.236.128 | 201.45.236.129 | 201.45.236.190 | 201.45.236.191
201.45.236.192 | 201.45.236.193 | 201.45.236.254 | 201.45.236.255
201.45.237.0 | 201.45.237.1 | 201.45.237.62 | 201.45.237.63
201.45.237.64 | 201.45.237.65 | 201.45.237.126 | 201.45.237.127
201.45.237.128 | 201.45.237.129 | 201.45.237.190 | 201.45.237.191
201.45.237.192 | 201.45.237.193 | 201.45.237.254 | 201.45.237.255
201.45.238.0 | 201.45.238.1 | 201.45.238.62 | 201.45.238.63
201.45.238.64 | 201.45.238.65 | 201.45.238.126 | 201.45.238.127
201.45.238.128 | 201.45.238.129 | 201.45.238.190 | 201.45.238.191
201.45.238.192 | 201.45.238.193 | 201.45.238.254 | 201.45.238.255
201.45.239.0 | 201.45.239.1 | 201.45.239.62 | 201.45.239.63
201.45.239.64 | 201.45.239.65 | 201.45.239.126 | 201.45.239.127
201.45.239.128 | 201.45.239.129 | 201.45.239.190 | 201.45.239.191
201.45.239.192 | 201.45.239.193 | 201.45.239.254 | 201.45.239.255
201.45.240.0 | 201.45.240.1 | 201.45.240.62 | 201.45.240.63
201.45.240.64 | 201.45.240.65 | 201.45.240.126 | 201.45.240.127
201.45.240.128 | 201.45.240.129 | 201.45.240.190 | 201.45.240.191
201.45.240.192 | 201.45.240.193 | 201.45.240.254 | 201.45.240.255
201.45.241.0 | 201.45.241.1 | 201.45.241.62 | 201.45.241.63
201.45.241.64 | 201.45.241.65 | 201.45.241.126 | 201.45.241.127
201.45.241.128 | 201.45.241.129 | 201.45.241.190 | 201.45.241.191
201.45.241.192 | 201.45.241.193 | 201.45.241.254 | 201.45.241.255
201.45.242.0 | 201.45.242.1 | 201.45.242.62 | 201.45.242.63
201.45.242.64 | 201.45.242.65 | 201.45.242.126 | 201.45.242.127
201.45.242.128 | 201.45.242.129 | 201.45.242.190 | 201.45.242.191
201.45.242.192 | 201.45.242.193 | 201.45.242.254 | 201.45.242.255
201.45.243.0 | 201.45.243.1 | 201.45.243.62 | 201.45.243.63
201.45.243.64 | 201.45.243.65 | 201.45.243.126 | 201.45.243.127
201.45.243.128 | 201.45.243.129 | 201.45.243.190 | 201.45.243.191
201.45.243.192 | 201.45.243.193 | 201.45.243.254 | 201.45.243.255
201.45.244.0 | 201.45.244.1 | 201.45.244.62 | 201.45.244.63
201.45.244.64 | 201.45.244.65 | 201.45.244.126 | 201.45.244.127
201.45.244.128 | 201.45.244.129 | 201.45.244.190 | 201.45.244.191
201.45.244.192 | 201.45.244.193 | 201.45.244.254 | 201.45.244.255
201.45.245.0 | 201.45.245.1 | 201.45.245.62 | 201.45.245.63
201.45.245.64 | 201.45.245.65 | 201.45.245.126 | 201.45.245.127
201.45.245.128 | 201.45.245.129 | 201.45.245.190 | 201.45.245.191
201.45.245.192 | 201.45.245.193 | 201.45.245.254 | 201.45.245.255
201.45.246.0 | 201.45.246.1 | 201.45.246.62 | 201.45.246.63
201.45.246.64 | 201.45.246.65 | 201.45.246.126 | 201.45.246.127
201.45.246.128 | 201.45.246.129 | 201.45.246.190 | 201.45.246.191
201.45.246.192 | 201.45.246.193 | 201.45.246.254 | 201.45.246.255
